"Año","Mes","Comunidad autónoma","Provincia","Número de casos","Número de casos con protección policial"
"Año 2019","Octubre","Comunidad de Madrid","Madrid","8420.0","3789.0"
"Año 2019","Octubre","Región de Murcia","Murcia","2915.0","1616.0"
"Año 2019","Octubre","Comunidad Foral de Navarra","Navarra","1044.0","539.0"
"Año 2019","Octubre","País Vasco","Araba/Álava","0.0","0.0"
"Año 2019","Octubre","País Vasco","Bizkaia","0.0","0.0"
"Año 2019","Octubre","País Vasco","Gipuzkoa","0.0","0.0"
"Año 2019","Octubre","La Rioja","La Rioja","439.0","243.0"
"Año 2019","Octubre","Ceuta","Ceuta","126.0","73.0"
"Año 2019","Octubre","Melilla","Melilla","139.0","78.0"
"Año 2019","Octubre","Extranjero","Extranjero","0.0","0.0"
"Año 2019","Noviembre","Desconocida","Desconocida","0.0","0.0"
"Año 2019","Noviembre","Andalucía","Almería","2101.0","885.0"
"Año 2019","Noviembre","Andalucía","Cádiz","2771.0","1554.0"
"Año 2019","Noviembre","Andalucía","Córdoba","1016.0","692.0"
"Año 2019","Noviembre","Andalucía","Granada","1551.0","925.0"
"Año 2019","Noviembre","Andalucía","Huelva","1141.0","485.0"
"Año 2019","Noviembre","Andalucía","Jaén","1322.0","748.0"
"Año 2019","Noviembre","Andalucía","Málaga","3144.0","1505.0"
"Año 2019","Noviembre","Andalucía","Sevilla","3231.0","1795.0"
"Año 2019","Noviembre","Aragón","Huesca","260.0","102.0"
"Año 2019","Noviembre","Aragón","Teruel","131.0","67.0"
"Año 2019","Noviembre","Aragón","Zaragoza","1273.0","628.0"
"Año 2019","Noviembre","Principado de Asturias","Asturias","1371.0","616.0"
"Año 2019","Noviembre","Illes Balears","Illes Balears","2676.0","1210.0"
"Año 2019","Noviembre","Canarias","Las Palmas","1972.0","1033.0"
"Año 2019","Noviembre","Canarias","Santa Cruz de Tenerife","2140.0","1328.0"
"Año 2019","Noviembre","Cantabria","Cantabria","722.0","330.0"
"Año 2019","Noviembre","Castilla y León","Ávila","209.0","119.0"
"Año 2019","Noviembre","Castilla y León","Burgos","566.0","270.0"
"Año 2019","Noviembre","Castilla y León","León","572.0","280.0"
"Año 2019","Noviembre","Castilla y León","Palencia","224.0","122.0"
"Año 2019","Noviembre","Castilla y León","Salamanca","310.0","101.0"
"Año 2019","Noviembre","Castilla y León","Segovia","176.0","102.0"
"Año 2019","Noviembre","Castilla y León","Soria","122.0","36.0"
"Año 2019","Noviembre","Castilla y León","Valladolid","469.0","156.0"
"Año 2019","Noviembre","Castilla y León","Zamora","136.0","58.0"
"Año 2019","Noviembre","Castilla-La Mancha","Albacete","681.0","261.0"
"Año 2019","Noviembre","Castilla-La Mancha","Ciudad Real","749.0","334.0"
"Año 2019","Noviembre","Castilla-La Mancha","Cuenca","367.0","109.0"
"Año 2019","Noviembre","Castilla-La Mancha","Guadalajara","472.0","249.0"
"Año 2019","Noviembre","Castilla-La Mancha","Toledo","1109.0","401.0"
"Año 2019","Noviembre","Cataluña","Barcelona","0.0","0.0"
"Año 2019","Noviembre","Cataluña","Girona","0.0","0.0"
"Año 2019","Noviembre","Cataluña","Lleida","0.0","0.0"
"Año 2019","Noviembre","Cataluña","Tarragona","0.0","0.0"
"Año 2019","Noviembre","Comunitat Valenciana","Alicante/Alacant","3789.0","1857.0"
"Año 2019","Noviembre","Comunitat Valenciana","Castellón/Castelló","972.0","539.0"
"Año 2019","Noviembre","Comunitat Valenciana","Valencia/València","4597.0","2279.0"
"Año 2019","Noviembre","Extremadura","Badajoz","969.0","573.0"
"Año 2019","Noviembre","Extremadura","Cáceres","689.0","310.0"
"Año 2019","Noviembre","Galicia","A Coruña","1625.0","1012.0"
"Año 2019","Noviembre","Galicia","Lugo","485.0","245.0"
"Año 2019","Noviembre","Galicia","Ourense","373.0","139.0"
"Año 2019","Noviembre","Galicia","Pontevedra","1081.0","560.0"
"Año 2019","Noviembre","Comunidad de Madrid","Madrid","8476.0","3859.0"
"Año 2019","Noviembre","Región de Murcia","Murcia","2974.0","1665.0"
"Año 2019","Noviembre","Comunidad Foral de Navarra","Navarra","1046.0","550.0"
"Año 2019","Noviembre","País Vasco","Araba/Álava","0.0","0.0"
"Año 2019","Noviembre","País Vasco","Bizkaia","0.0","0.0"
"Año 2019","Noviembre","País Vasco","Gipuzkoa","0.0","0.0"
