"Año","Mes","Comunidad autónoma","Provincia","Altas","Bajas","Usuarias activas"
"Año 2007","Mayo","Castilla y León","Palencia","2.0","0.0","10.0"
"Año 2007","Mayo","Castilla y León","Salamanca","0.0","2.0","7.0"
"Año 2007","Mayo","Castilla y León","Segovia","2.0","1.0","8.0"
"Año 2007","Mayo","Castilla y León","Soria","4.0","1.0","32.0"
"Año 2007","Mayo","Castilla y León","Valladolid","0.0","0.0","15.0"
"Año 2007","Mayo","Castilla y León","Zamora","0.0","0.0","17.0"
"Año 2007","Mayo","Castilla-La Mancha","Albacete","4.0","0.0","31.0"
"Año 2007","Mayo","Castilla-La Mancha","Ciudad Real","6.0","3.0","59.0"
"Año 2007","Mayo","Castilla-La Mancha","Cuenca","3.0","1.0","14.0"
"Año 2007","Mayo","Castilla-La Mancha","Guadalajara","3.0","0.0","19.0"
"Año 2007","Mayo","Castilla-La Mancha","Toledo","9.0","4.0","62.0"
"Año 2007","Mayo","Cataluña","Barcelona","64.0","17.0","502.0"
"Año 2007","Mayo","Cataluña","Girona","12.0","7.0","77.0"
"Año 2007","Mayo","Cataluña","Lleida","6.0","3.0","36.0"
"Año 2007","Mayo","Cataluña","Tarragona","18.0","10.0","171.0"
"Año 2007","Mayo","Comunitat Valenciana","Alicante/Alacant","63.0","30.0","428.0"
"Año 2007","Mayo","Comunitat Valenciana","Castellón/Castelló","26.0","17.0","204.0"
"Año 2007","Mayo","Comunitat Valenciana","Valencia/València","74.0","53.0","586.0"
"Año 2007","Mayo","Extremadura","Badajoz","6.0","3.0","57.0"
"Año 2007","Mayo","Extremadura","Cáceres","3.0","3.0","39.0"
"Año 2007","Mayo","Galicia","A Coruña","10.0","6.0","140.0"
"Año 2007","Mayo","Galicia","Lugo","0.0","0.0","16.0"
"Año 2007","Mayo","Galicia","Ourense","13.0","3.0","30.0"
"Año 2007","Mayo","Galicia","Pontevedra","7.0","4.0","60.0"
"Año 2007","Mayo","Comunidad de Madrid","Madrid","102.0","76.0","1308.0"
"Año 2007","Mayo","Región de Murcia","Murcia","8.0","0.0","59.0"
"Año 2007","Mayo","Comunidad Foral de Navarra","Navarra","2.0","0.0","7.0"
"Año 2007","Mayo","País Vasco","Araba/Álava","1.0","2.0","6.0"
"Año 2007","Mayo","País Vasco","Bizkaia","10.0","9.0","86.0"
"Año 2007","Mayo","País Vasco","Gipuzkoa","1.0","0.0","4.0"
"Año 2007","Mayo","La Rioja","La Rioja","0.0","0.0","2.0"
"Año 2007","Mayo","Ceuta","Ceuta","0.0","2.0","3.0"
"Año 2007","Mayo","Melilla","Melilla","1.0","0.0","9.0"
"Año 2007","Junio","Andalucía","Almería","1.0","0.0","15.0"
"Año 2007","Junio","Andalucía","Cádiz","4.0","4.0","210.0"
"Año 2007","Junio","Andalucía","Córdoba","1.0","0.0","65.0"
"Año 2007","Junio","Andalucía","Granada","6.0","2.0","175.0"
"Año 2007","Junio","Andalucía","Huelva","1.0","2.0","70.0"
"Año 2007","Junio","Andalucía","Jaén","4.0","1.0","76.0"
"Año 2007","Junio","Andalucía","Málaga","7.0","7.0","280.0"
"Año 2007","Junio","Andalucía","Sevilla","18.0","11.0","449.0"
"Año 2007","Junio","Aragón","Huesca","1.0","0.0","26.0"
"Año 2007","Junio","Aragón","Teruel","1.0","0.0","5.0"
"Año 2007","Junio","Aragón","Zaragoza","0.0","0.0","1.0"
"Año 2007","Junio","Principado de Asturias","Asturias","16.0","8.0","357.0"
"Año 2007","Junio","Illes Balears","Illes Balears","7.0","2.0","142.0"
"Año 2007","Junio","Canarias","Las Palmas","7.0","4.0","220.0"
"Año 2007","Junio","Canarias","Santa Cruz de Tenerife","8.0","5.0","381.0"
"Año 2007","Junio","Cantabria","Cantabria","16.0","3.0","139.0"
"Año 2007","Junio","Castilla y León","Ávila","0.0","0.0","7.0"
"Año 2007","Junio","Castilla y León","Burgos","0.0","0.0","24.0"
"Año 2007","Junio","Castilla y León","León","6.0","3.0","69.0"
"Año 2007","Junio","Castilla y León","Palencia","2.0","0.0","11.0"
"Año 2007","Junio","Castilla y León","Salamanca","1.0","0.0","8.0"
