"Año","Trimestre","Mes","Comunidad autónoma","Provincia","Total consultas pertinentes","Llamadas pertinentes","WhatsApp pertinentes","Correos electrónicos pertinentes","Chats pertinentes"
"2012","Segundo","Abril","Comunitat Valenciana","Valencia/València","277.0","277.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Extremadura","Badajoz","60.0","60.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Extremadura","Cáceres","29.0","29.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Galicia","A Coruña","84.0","84.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Galicia","Lugo","36.0","36.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Galicia","Ourense","21.0","21.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Galicia","Pontevedra","60.0","60.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Comunidad de Madrid","Madrid","1053.0","1053.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Región de Murcia","Murcia","150.0","150.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Comunidad Foral de Navarra","Navarra","57.0","57.0","0.0","0.0","0.0"
"2012","Segundo","Abril","País Vasco","Araba/Álava","18.0","18.0","0.0","0.0","0.0"
"2012","Segundo","Abril","País Vasco","Bizkaia","55.0","55.0","0.0","0.0","0.0"
"2012","Segundo","Abril","País Vasco","Gipuzkoa","25.0","25.0","0.0","0.0","0.0"
"2012","Segundo","Abril","La Rioja","La Rioja","17.0","17.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Ceuta","Ceuta","10.0","10.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Melilla","Melilla","13.0","13.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Andalucía","Almería","63.0","63.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Andalucía","Cádiz","105.0","105.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Andalucía","Córdoba","68.0","68.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Andalucía","Granada","121.0","121.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Andalucía","Huelva","44.0","44.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Andalucía","Jaén","61.0","61.0","0.0","0.0","0.0"
