"Año","Comunidad autónoma","Provincia","Número de ayudas para cambio de residencia"
"Año 2013","Castilla-La Mancha","Ciudad Real","34.0"
"Año 2013","Castilla-La Mancha","Cuenca","7.0"
"Año 2013","Castilla-La Mancha","Guadalajara","23.0"
"Año 2013","Castilla-La Mancha","Toledo","63.0"
"Año 2013","Cataluña","Barcelona","211.0"
"Año 2013","Cataluña","Girona","26.0"
"Año 2013","Cataluña","Lleida","22.0"
"Año 2013","Cataluña","Tarragona","41.0"
"Año 2013","Comunitat Valenciana","Alicante/Alacant","182.0"
"Año 2013","Comunitat Valenciana","Castellón/Castelló","68.0"
"Año 2013","Comunitat Valenciana","Valencia/València","230.0"
"Año 2013","Extremadura","Badajoz","33.0"
"Año 2013","Extremadura","Cáceres","45.0"
"Año 2013","Galicia","A Coruña","83.0"
"Año 2013","Galicia","Lugo","15.0"
"Año 2013","Galicia","Ourense","23.0"
"Año 2013","Galicia","Pontevedra","58.0"
"Año 2013","Comunidad de Madrid","Madrid","263.0"
"Año 2013","Región de Murcia","Murcia","90.0"
"Año 2013","Comunidad Foral de Navarra","Navarra","30.0"
"Año 2013","País Vasco","Araba/Álava","12.0"
"Año 2013","País Vasco","Bizkaia","92.0"
"Año 2013","País Vasco","Gipuzkoa","8.0"
"Año 2013","La Rioja","La Rioja","23.0"
"Año 2013","Ceuta","Ceuta","1.0"
"Año 2013","Melilla","Melilla","4.0"
"Año 2014","Andalucía","Almería","63.0"
"Año 2014","Andalucía","Cádiz","106.0"
"Año 2014","Andalucía","Córdoba","35.0"
"Año 2014","Andalucía","Granada","148.0"
"Año 2014","Andalucía","Huelva","48.0"
"Año 2014","Andalucía","Jaén","54.0"
"Año 2014","Andalucía","Málaga","123.0"
"Año 2014","Andalucía","Sevilla","130.0"
"Año 2014","Aragón","Huesca","18.0"
"Año 2014","Aragón","Teruel","11.0"
"Año 2014","Aragón","Zaragoza","102.0"
"Año 2014","Principado de Asturias","Asturias","117.0"
"Año 2014","Illes Balears","Illes Balears","109.0"
"Año 2014","Canarias","Las Palmas","123.0"
"Año 2014","Canarias","Santa Cruz de Tenerife","264.0"
"Año 2014","Cantabria","Cantabria","37.0"
"Año 2014","Castilla y León","Ávila","11.0"
"Año 2014","Castilla y León","Burgos","19.0"
"Año 2014","Castilla y León","León","23.0"
"Año 2014","Castilla y León","Palencia","12.0"
"Año 2014","Castilla y León","Salamanca","24.0"
"Año 2014","Castilla y León","Segovia","4.0"
"Año 2014","Castilla y León","Soria","6.0"
"Año 2014","Castilla y León","Valladolid","47.0"
"Año 2014","Castilla y León","Zamora","4.0"
"Año 2014","Castilla-La Mancha","Albacete","39.0"
"Año 2014","Castilla-La Mancha","Ciudad Real","46.0"
"Año 2014","Castilla-La Mancha","Cuenca","10.0"
"Año 2014","Castilla-La Mancha","Guadalajara","27.0"
"Año 2014","Castilla-La Mancha","Toledo","89.0"
