Comunidades y ciudades autónomas;Lugar de nacimiento de la victima;Periodo;Total
Asturias, Principado de;Europa menos UE27_2020;2019;""
Asturias, Principado de;Europa menos UE27_2020;2018;""
Asturias, Principado de;Europa menos UE27_2020;2017;""
Asturias, Principado de;Europa menos UE27_2020;2016;""
Asturias, Principado de;Europa menos UE27_2020;2015;""
Asturias, Principado de;Europa menos UE27_2020;2014;""
Asturias, Principado de;Europa menos UE27_2020;2013;""
Asturias, Principado de;Europa menos UE27_2020;2012;""
Asturias, Principado de;Europa menos UE27_2020;2011;""
Asturias, Principado de;África;2023;26
Asturias, Principado de;África;2022;22
Asturias, Principado de;África;2021;25
Asturias, Principado de;África;2020;21
Asturias, Principado de;África;2019;16
Asturias, Principado de;África;2018;13
Asturias, Principado de;África;2017;15
Asturias, Principado de;África;2016;14
Asturias, Principado de;África;2015;21
Asturias, Principado de;África;2014;13
Asturias, Principado de;África;2013;9
Asturias, Principado de;África;2012;15
Asturias, Principado de;África;2011;15
Asturias, Principado de;América;2023;94
Asturias, Principado de;América;2022;89
Asturias, Principado de;América;2021;56
Asturias, Principado de;América;2020;69
Asturias, Principado de;América;2019;66
Asturias, Principado de;América;2018;43
Asturias, Principado de;América;2017;43
Asturias, Principado de;América;2016;39
Asturias, Principado de;América;2015;27
Asturias, Principado de;América;2014;33
Asturias, Principado de;América;2013;31
Asturias, Principado de;América;2012;40
Asturias, Principado de;América;2011;46
Asturias, Principado de;Asia;2023;2
Asturias, Principado de;Asia;2022;2
Asturias, Principado de;Asia;2021;0
Asturias, Principado de;Asia;2020;2
Asturias, Principado de;Asia;2019;1
Asturias, Principado de;Asia;2018;0
Asturias, Principado de;Asia;2017;2
Asturias, Principado de;Asia;2016;1
Asturias, Principado de;Asia;2015;1
Asturias, Principado de;Asia;2014;1
Asturias, Principado de;Asia;2013;1
Asturias, Principado de;Asia;2012;0
Asturias, Principado de;Asia;2011;1
Asturias, Principado de;Oceanía ;2023;0
Asturias, Principado de;Oceanía ;2022;0
Asturias, Principado de;Oceanía ;2021;0
Asturias, Principado de;Oceanía ;2020;0
Asturias, Principado de;Oceanía ;2019;1
Asturias, Principado de;Oceanía ;2018;1
Asturias, Principado de;Oceanía ;2017;0
Asturias, Principado de;Oceanía ;2016;0
Asturias, Principado de;Oceanía ;2015;0
Asturias, Principado de;Oceanía ;2014;0
Asturias, Principado de;Oceanía ;2013;0
Asturias, Principado de;Oceanía ;2012;0
Asturias, Principado de;Oceanía ;2011;0
Balears, Illes;Total;2023;1.422
Balears, Illes;Total;2022;1.263
Balears, Illes;Total;2021;993
Balears, Illes;Total;2020;996
Balears, Illes;Total;2019;1.150
Balears, Illes;Total;2018;994
Balears, Illes;Total;2017;869
Balears, Illes;Total;2016;849
Balears, Illes;Total;2015;823
Balears, Illes;Total;2014;762
Balears, Illes;Total;2013;839
Balears, Illes;Total;2012;773
Balears, Illes;Total;2011;872
Balears, Illes;Europa;2023;884
Balears, Illes;Europa;2022;832
Balears, Illes;Europa;2021;640
Balears, Illes;Europa;2020;675
Balears, Illes;Europa;2019;808
Balears, Illes;Europa;2018;706
Balears, Illes;Europa;2017;621
Balears, Illes;Europa;2016;610
Balears, Illes;Europa;2015;597
Balears, Illes;Europa;2014;518
Balears, Illes;Europa;2013;633
Balears, Illes;Europa;2012;560
Balears, Illes;Europa;2011;615
Balears, Illes;España;2023;687
Balears, Illes;España;2022;628
Balears, Illes;España;2021;528
Balears, Illes;España;2020;562
Balears, Illes;España;2019;600
Balears, Illes;España;2018;533
Balears, Illes;España;2017;503
Balears, Illes;España;2016;465
Balears, Illes;España;2015;437
Balears, Illes;España;2014;374
Balears, Illes;España;2013;488
Balears, Illes;España;2012;460
Balears, Illes;España;2011;477
Balears, Illes;UE28 sin España;2023;""
Balears, Illes;UE28 sin España;2022;""
Balears, Illes;UE28 sin España;2021;""
Balears, Illes;UE28 sin España;2020;""
Balears, Illes;UE28 sin España;2019;184
Balears, Illes;UE28 sin España;2018;164
Balears, Illes;UE28 sin España;2017;111
Balears, Illes;UE28 sin España;2016;137
Balears, Illes;UE28 sin España;2015;147
Balears, Illes;UE28 sin España;2014;137
Balears, Illes;UE28 sin España;2013;136
Balears, Illes;UE28 sin España;2012;89
Balears, Illes;UE28 sin España;2011;130
Balears, Illes;UE27_2020 sin España;2023;149
Balears, Illes;UE27_2020 sin España;2022;152
